waste_basket,736
bench,611
cafe,110
restaurant,92
bicycle_parking,58
post_box,38
drinking_water,38
fast_food,37
bank,36
pharmacy,35
parking_entrance,32
telephone,29
vending_machine,28
bar,25
atm,21
parking,19
fuel,18
fountain,14
recycling,12
post_office,10
pub,9
motorcycle_parking,8
school,8
car_wash,7
ice_cream,7
charging_station,6
driving_school,6
dentist,5
toilets,5
kindergarten,5
clock,4
veterinary,4
car_rental,4
doctors,4
library,4
police,3
money_transfer,3
rescue_station,2
clinic,2
bicycle_rental,2
taxi,2
theatre,2
shelter,2
cinema,2
monastery,1
fire_station,1
place_of_worship,1
gambling,1
arts_centre,1
community_centre,1
marketplace,1
car_sharing,1
social_facility,1
training,1
childcare,1
