bench,163
waste_basket,78
restaurant,34
cafe,34
fuel,25
drinking_water,22
bank,21
parking,17
bar,16
bicycle_parking,16
pharmacy,10
clock,9
recycling,7
vending_machine,7
fast_food,7
telephone,6
doctors,6
toilets,6
car_wash,4
ice_cream,4
school,4
atm,3
fountain,3
kindergarten,3
pub,3
place_of_worship,3
dentist,2
library,2
post_office,2
cinema,2
parking_entrance,2
marketplace,2
police,1
rescue_station,1
veterinary,1
taxi,1
post_box,1
bicycle_rental,1
bus_station,1
lotto,1
motorcycle_parking,1
driving_school,1
community_centre,1
townhall,1
grit_bin,1
