waste_basket,2422
bench,2213
restaurant,1642
cafe,1140
drinking_water,714
bicycle_parking,614
bank,588
vending_machine,552
bar,551
pharmacy,385
telephone,347
fast_food,323
post_box,301
clock,295
fuel,238
bicycle_rental,226
parking_entrance,222
parking,190
pub,153
toilets,137
ice_cream,136
recycling,119
taxi,106
post_office,98
atm,93
school,83
embassy,60
fountain,58
motorcycle_parking,48
nightclub,45
library,43
car_wash,39
place_of_worship,36
theatre,34
dentist,33
police,33
veterinary,29
kindergarten,27
cinema,25
doctors,24
charging_station,23
car_rental,19
driving_school,17
social_facility,15
community_centre,14
marketplace,11
clinic,10
arts_centre,10
hospital,10
childcare,9
bureau_de_change,8
bus_station,7
conference_centre,6
table,6
university,6
townhall,6
gambling,6
car_sharing,5
shelter,5
photo_booth,5
studio,5
coworking_space,5
bbq,5
public_building,4
courthouse,3
language_school,3
wifi,3
fire_station,2
music_school,2
college,2
gym,2
shower,2
parking_space,2
yes,2
smoking_area,1
massage,1
internet_cafe;money_transfer,1
waste_disposal,1
animal_shelter,1
archive,1
water_point,1
crypt,1
social_club,1
Upcoming supermarket,1
ranger_station,1
luggage_locker,1
multiservices,1
grave_yard,1
dormitory,1
research_institute,1
money_transfer,1
monastery,1
person_weighing,1
training,1
biergarten,1
stock_exchange,1
music_venue,1
bicycle_repair_station,1
