restaurant,146
drinking_water,101
cafe,92
bench,67
bar,60
fuel,45
bank,44
fast_food,41
post_box,37
pharmacy,36
telephone,31
pub,29
parking_entrance,22
parking,20
bicycle_rental,20
bicycle_parking,19
ice_cream,14
clock,12
vending_machine,12
school,9
waste_basket,8
toilets,8
taxi,8
post_office,7
recycling,7
nightclub,7
car_wash,5
dentist,5
theatre,5
library,5
place_of_worship,4
atm,4
social_facility,3
veterinary,2
car_sharing,2
car_rental,2
arts_centre,2
police,2
cinema,1
person_weighing,1
childcare,1
embassy,1
college,1
parking_space,1
driving_school,1
bicycle_repair_station,1
doctors,1
kindergarten,1
community_centre,1
