restaurant,147
drinking_water,105
cafe,90
bench,69
bar,60
fuel,45
bank,44
fast_food,41
post_box,41
pharmacy,38
telephone,30
pub,29
parking,20
bicycle_rental,20
bicycle_parking,19
parking_entrance,15
ice_cream,14
clock,12
vending_machine,12
taxi,9
school,9
recycling,8
waste_basket,8
toilets,8
nightclub,7
post_office,7
dentist,5
car_wash,5
theatre,5
library,5
atm,4
place_of_worship,3
social_facility,3
car_rental,2
car_sharing,2
veterinary,2
police,2
embassy,1
person_weighing,1
childcare,1
college,1
parking_space,1
community_centre,1
bicycle_repair_station,1
doctors,1
kindergarten,1
arts_centre,1
driving_school,1
