restaurant,152
bench,101
drinking_water,99
cafe,96
bar,65
bank,47
fast_food,41
fuel,41
pharmacy,38
post_box,38
telephone,30
pub,30
bicycle_parking,25
parking,21
bicycle_rental,20
parking_entrance,15
ice_cream,15
clock,12
vending_machine,12
waste_basket,10
school,9
toilets,9
taxi,9
recycling,7
nightclub,7
post_office,7
theatre,5
car_wash,5
library,5
atm,5
dentist,5
police,3
place_of_worship,3
social_facility,3
car_rental,2
car_sharing,2
veterinary,2
doctors,2
kindergarten,2
person_weighing,1
parking_space,1
arts_centre,1
embassy,1
bicycle_repair_station,1
college,1
childcare,1
community_centre,1
driving_school,1
