waste_basket,85
bench,71
restaurant,25
cafe,24
drinking_water,23
vending_machine,21
fuel,18
recycling,13
bicycle_parking,12
parking,12
bank,10
pharmacy,9
fountain,7
bar,7
charging_station,5
clock,4
atm,4
place_of_worship,4
fast_food,3
telephone,3
dentist,3
post_box,3
social_facility,2
library,2
school,2
post_office,2
ice_cream,2
toilets,2
police,2
driving_school,2
parking_entrance,2
doctors,2
cinema,1
taxi,1
car_sharing,1
theatre,1
townhall,1
language_school,1
motorcycle_parking,1
car_wash,1
money_transfer,1
gambling,1
community_centre,1
